2021-07-19 14:20:08,762 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:Reassigned, Type:NumberOfItems64
2021-07-19 14:20:08,762 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:ProcessError, Type:NumberOfItems64
2021-07-19 14:20:08,762 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:Assigned, Type:NumberOfItems64
2021-07-19 14:20:08,762 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:Canceled, Type:NumberOfItems64
2021-07-19 14:20:08,762 [1] INFO  seller.dhgatemessage - 创建计数器对象, Name:Heartbeat, Type:NumberOfItems64
2021-07-19 14:20:08,762 [1] INFO  seller.dhgatemessage - 初始化计数器类别完成, Name:YQ-Schedule.TaskCoordinator.seller.dhgate.message.sync, IsSingle:True
2021-07-19 14:20:08,778 [1] INFO  seller.dhgatemessage - Register:{"Name":"seller.dhgate.message.sync","nodeId":"192.168.1.158_8756","taskList":["1.11.0","1.14.0","1.13.0","1.12.0"]}
2021-07-19 14:20:08,779 [1] INFO  seller.dhgatemessage - DoAssign:{"Name":"seller.dhgate.message.sync","nodeId":"192.168.1.158_8756"}
2021-07-19 14:20:08,789 [1] INFO  seller.dhgatemessage - NodeChanged:{"current":2,"lastest":0}
2021-07-19 14:20:08,853 [1] INFO  seller.dhgatemessage - ServerStarted:{"EventName":"TaskCoordinator_OnTaskAssigned","EventDesc":"1.11.0"}
2021-07-19 14:20:08,860 [1] INFO  seller.dhgatemessage - TaskAssigned:{"TaskId":"1.11.0"}
2021-07-19 14:20:08,860 [1] INFO  seller.dhgatemessage - DoAssign:{"Name":"seller.dhgate.message.sync","nodeId":"192.168.1.158_8756"}
2021-07-19 14:20:08,867 [1] INFO  seller.dhgatemessage - ServerStarted:{"EventName":"TaskCoordinator_OnTaskAssigned","EventDesc":"1.12.0"}
2021-07-19 14:20:08,867 [1] INFO  seller.dhgatemessage - TaskAssigned:{"TaskId":"1.12.0"}
2021-07-19 14:20:08,900 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":11,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:20:08,900 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":12,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:20:43,782 [9] INFO  seller.dhgatemessage - NodeChanged:{"current":1,"lastest":2}
2021-07-19 14:21:08,869 [12] INFO  seller.dhgatemessage - DoAssign:{"Name":"seller.dhgate.message.sync","nodeId":"192.168.1.158_8756"}
2021-07-19 14:21:08,873 [12] INFO  seller.dhgatemessage - ServerStarted:{"EventName":"TaskCoordinator_OnTaskAssigned","EventDesc":"1.13.0"}
2021-07-19 14:21:08,873 [12] INFO  seller.dhgatemessage - TaskAssigned:{"TaskId":"1.13.0"}
2021-07-19 14:21:08,887 [12] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":13,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:21:08,909 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":12,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:21:08,919 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":11,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:22:08,874 [18] INFO  seller.dhgatemessage - DoAssign:{"Name":"seller.dhgate.message.sync","nodeId":"192.168.1.158_8756"}
2021-07-19 14:22:12,377 [19] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":13,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:22:12,377 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":12,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:22:12,377 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":11,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:22:12,378 [18] INFO  seller.dhgatemessage - ServerStarted:{"EventName":"TaskCoordinator_OnTaskAssigned","EventDesc":"1.14.0"}
2021-07-19 14:22:12,378 [18] INFO  seller.dhgatemessage - TaskAssigned:{"TaskId":"1.14.0"}
2021-07-19 14:22:12,390 [18] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":14,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:23:12,390 [23] INFO  seller.dhgatemessage - DoAssign:{"Name":"seller.dhgate.message.sync","nodeId":"192.168.1.158_8756"}
2021-07-19 14:23:12,398 [24] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":13,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:23:12,398 [26] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":14,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:23:12,398 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":11,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:23:12,398 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":12,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:24:12,404 [30] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":13,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:24:12,405 [28] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":14,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:24:12,405 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":12,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:24:12,405 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":11,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:25:12,415 [32] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":13,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:25:12,416 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":12,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:25:12,416 [1] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":11,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:25:12,417 [34] INFO  seller.dhgatemessage - WaitNextSchedule:{"UserRole":2,"NodeId":1,"DbNo":14,"TableNo":0,"IsArchived":false,"IsWrite":false}
2021-07-19 14:25:30,231 [1] INFO  seller.dhgatemessage - NodeChanged:{"current":0,"lastest":1}
2021-07-19 14:25:30,258 [1] INFO  seller.dhgatemessage - TaskCanceled:{"TaskId":"1.11.0"}
2021-07-19 14:25:30,276 [1] INFO  seller.dhgatemessage - TaskCanceled:{"TaskId":"1.12.0"}
2021-07-19 14:25:30,288 [1] INFO  seller.dhgatemessage - TaskCanceled:{"TaskId":"1.13.0"}
2021-07-19 14:25:30,299 [1] INFO  seller.dhgatemessage - TaskCanceled:{"TaskId":"1.14.0"}
2021-07-19 14:25:30,299 [1] INFO  seller.dhgatemessage - UnRegister:{"Name":"seller.dhgate.message.sync","nodeId":"192.168.1.158_8756"}
2021-07-19 14:25:30,299 [1] INFO  seller.dhgatemessage - ServerStopping:"DHgateMessageTaskHelper"
2021-07-19 14:25:30,299 [1] INFO  seller.dhgatemessage - ServerStopped:"DHgateMessageTaskHelper"
